,Unnamed: 0,Institution,Title,Department,STEM,NON-STEM,Ethnea,Genni,AdjSalary,PostdocNum,Associate,Intern,Fellow,Clinical,Trainee,Researcher,Scholar,Senior,Faculty,Assistant,Teaching,NIH_grants,NIH_order,State
125,125,Boston University,Postdoctoral Associate,,,,False,False,47500.08,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
126,126,Boston University,Postdoctoral Associate,,,,False,False,47500.08,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
127,127,Boston University,Postdoctoral Associate,,,,False,False,47500.08,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
128,128,Boston University,Postdoctoral Associate,,,,False,False,47500.08,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
129,129,Boston University,Postdoctoral Associate,,,,False,False,47556,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
130,130,Boston University,Postdoctoral Associate,,,,False,False,47690.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
131,131,Boston University,Postdoctoral Associate,,,,False,False,47844,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
132,132,Boston University,Postdoctoral Associate,,,,False,False,47844,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
133,133,Boston University,Postdoctoral Associate,,,,False,False,47844,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
134,134,Boston University,Postdoctoral Associate,,,,False,False,48000,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
135,135,Boston University,Post Graduate Fellow,,,,False,False,48000,297,0,0,1,0,0,0,0,0,0,0,0,166528745,6,MA
136,136,Boston University,Post Graduate Fellow,,,,False,False,48000,297,0,0,1,0,0,0,0,0,0,0,0,166528745,6,MA
137,137,Boston University,Post Graduate Fellow,,,,False,False,48000,297,0,0,1,0,0,0,0,0,0,0,0,166528745,6,MA
138,138,Boston University,Post Graduate Fellow,,,,False,False,48000,297,0,0,1,0,0,0,0,0,0,0,0,166528745,6,MA
139,139,Boston University,Post Graduate Fellow,,,,False,False,48000,297,0,0,1,0,0,0,0,0,0,0,0,166528745,6,MA
140,140,Boston University,Post Graduate Fellow,,,,False,False,48000,297,0,0,1,0,0,0,0,0,0,0,0,166528745,6,MA
141,141,Boston University,Post Graduate Fellow,,,,False,False,48000,297,0,0,1,0,0,0,0,0,0,0,0,166528745,6,MA
142,142,Boston University,Post Graduate Fellow,,,,False,False,48000,297,0,0,1,0,0,0,0,0,0,0,0,166528745,6,MA
143,143,Boston University,Post Graduate Fellow,,,,False,False,48000,297,0,0,1,0,0,0,0,0,0,0,0,166528745,6,MA
144,144,Boston University,Postdoctoral Associate,,,,False,False,48000,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
145,145,Boston University,Post Graduate Fellow,,,,False,False,48000,297,0,0,1,0,0,0,0,0,0,0,0,166528745,6,MA
146,146,Boston University,Postdoctoral Associate,,,,False,False,48000,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
147,147,Boston University,Postdoctoral Associate,,,,False,False,48191.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
148,148,Boston University,Senior Postdoctoral Associate,,,,False,False,48192,297,1,0,0,0,0,0,0,1,0,0,0,166528745,6,MA
149,149,Boston University,Postdoctoral Associate,,,,False,False,48192,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
150,150,Boston University,Postdoctoral Associate,,,,False,False,48192,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
151,151,Boston University,Postdoctoral Associate,,,,False,False,48192,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
152,152,Boston University,Postdoctoral Associate,,,,False,False,48200,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
153,153,Boston University,Postdoctoral Associate,,,,False,False,48216,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
154,154,Boston University,Postdoctoral Associate,,,,False,False,48219.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
155,155,Boston University,Postdoctoral Associate,,,,False,False,48400,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
156,156,Boston University,Postdoctoral Associate,,,,False,False,48500.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
157,157,Boston University,Postdoctoral Associate,,,,False,False,48600,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
158,158,Boston University,Postdoctoral Associate,,,,False,False,48685.92,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
159,159,Boston University,Postdoctoral Associate,,,,False,False,48700,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
160,160,Boston University,Postdoctoral Associate,,,,False,False,48800,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
161,161,Boston University,Postdoctoral Associate,,,,False,False,48999.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
162,162,Boston University,Postdoctoral Associate,,,,False,False,48999.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
163,163,Boston University,Postdoctoral Associate,,,,False,False,48999.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
164,164,Boston University,Postdoctoral Associate,,,,False,False,48999.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
165,165,Boston University,Postdoctoral Associate,,,,False,False,49000.08,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
166,166,Boston University,Postdoctoral Associate,,,,False,False,49152,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
167,167,Boston University,Postdoctoral Associate,,,,False,False,49152,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
168,168,Boston University,Postdoctoral Associate,,,,False,False,49200,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
169,169,Boston University,Postdoctoral Associate,,,,False,False,49200,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
170,170,Boston University,Postdoctoral Associate,,,,False,False,49339.92,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
171,171,Boston University,Postdoctoral Associate,,,,False,False,49600,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
172,172,Boston University,Postdoctoral Associate,,,,False,False,49692,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
173,173,Boston University,Postdoctoral Associate,,,,False,False,49692,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
174,174,Boston University,Postdoctoral Associate,,,,False,False,49800,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
175,175,Boston University,Post Graduate Fellow,,,,False,False,49999.92,297,0,0,1,0,0,0,0,0,0,0,0,166528745,6,MA
176,176,Boston University,Postdoctoral Associate,,,,False,False,49999.92,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
177,177,Boston University,Postdoctoral Associate,,,,False,False,49999.92,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
178,178,Boston University,Postdoctoral Associate,,,,False,False,49999.92,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
179,179,Boston University,Postdoctoral Associate,,,,False,False,50000,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
180,180,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
181,181,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
182,182,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
183,183,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
184,184,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
185,185,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
186,186,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
187,187,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
188,188,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
