,Institution,Title,AdjSalary,PostdocNum,Senior,Fellow,Faculty,Scholar,Assistant,Clinical,Researcher,Teaching,Intern,Trainee,Associate,NIH_grants,NIH_order,NSF,NSF_order,State
139,Boston University,Post Graduate Fellow,48000,297,0,1,0,0,0,0,0,0,0,0,0,172328687,6,395921,19,MA
140,Boston University,Post Graduate Fellow,48000,297,0,1,0,0,0,0,0,0,0,0,0,172328687,6,395921,19,MA
141,Boston University,Post Graduate Fellow,48000,297,0,1,0,0,0,0,0,0,0,0,0,172328687,6,395921,19,MA
142,Boston University,Post Graduate Fellow,48000,297,0,1,0,0,0,0,0,0,0,0,0,172328687,6,395921,19,MA
143,Boston University,Post Graduate Fellow,48000,297,0,1,0,0,0,0,0,0,0,0,0,172328687,6,395921,19,MA
144,Boston University,Postdoctoral Associate,48000,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
145,Boston University,Post Graduate Fellow,48000,297,0,1,0,0,0,0,0,0,0,0,0,172328687,6,395921,19,MA
146,Boston University,Postdoctoral Associate,48000,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
147,Boston University,Postdoctoral Associate,48191.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
148,Boston University,Senior Postdoctoral Associate,48192,297,1,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
149,Boston University,Postdoctoral Associate,48192,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
150,Boston University,Postdoctoral Associate,48192,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
151,Boston University,Postdoctoral Associate,48192,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
152,Boston University,Postdoctoral Associate,48200,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
153,Boston University,Postdoctoral Associate,48216,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
154,Boston University,Postdoctoral Associate,48219.96,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
155,Boston University,Postdoctoral Associate,48400,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
156,Boston University,Postdoctoral Associate,48500.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
157,Boston University,Postdoctoral Associate,48600,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
158,Boston University,Postdoctoral Associate,48685.92,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
